ID,Origin,Destination,Dist,CurrentTime,ShortName,Stopped,Route,TimeRange,WestUrl,EastUrl,nDist,nTime
78,1,20,16.1 miles,39 min,LS,Stopped,S Torrence Ave and US-41 N/S Lake Shore Dr,34 - 47 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.74826,-87.5629275,2288m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5662692!2d41.7538237!3s0x880e2869d0ebc8a9:0x353d4a64efc0dfe2!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!2m1!1b1!3e0","https://www.google.com/maps/dir/41.658386,+-87.559140/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7106719,-87.5808804,15431m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3m4!1m2!1d-87.5637008!2d41.7358043!3s0x880e2875dff19f4b:0x5cec7faad476d4a4!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!1b1!3e0",16.1,39
13,1,20,17.9 miles,33 min,Sky,Stopped,I-90 W,29 - 41 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.634653,-87.5369446,30751m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5973557!2d41.7580106!3s0x880e28ea5e2fd8a3:0xd7bc1e2354b6c623!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0","https://www.google.com/maps/dir/41.658386,+-87.559140/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7605445,-87.5000776,43516m/am=t/data=!3m1!1e3!4m17!4m16!1m8!2m2!1d-87.55914!2d41.658386!3m4!1m2!1d-87.5714688!2d41.7395378!3s0x880e28797f180595:0xc166160a5890708c!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",17.9,33
27,1,20,18.8 miles,24 min,BF_DR,Stopped,I-94 W and I-94 Express W,24 - 31 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.7288158,-87.6316115,9150m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.6205962!2d41.7134918!3s0x880e267580b00071:0xb24b6ab1f9e7db25!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0","https://www.google.com/maps/dir/41.658386,+-87.559140/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6905325,-87.6522923,13020m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3m4!1m2!1d-87.5917102!2d41.706883!3s0x880e265b2974e4ff:0xbc298433690af0b3!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",18.8,24
81,1,21,32.4 miles,44 min,Sky,Stopped,I-90 W,NA,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6450106,-87.3940989,30802m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5218899!2d41.6730745!3s0x8811d8bfd249459f:0x4a0c9f600c0f8f03!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0","https://www.google.com/maps/dir/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6502374,-87.4827758,21727m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3m4!1m2!1d-87.568867!2d41.7376476!3s0x880e2879d79dfd2f:0xe6ce00700f3c5da6!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",32.4,44
9,1,21,31.5 miles,58 min,LS,Stopped,US-41 N,53 min - 1 h 10 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6764132,-87.4918223,10894m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5414215!2d41.7274896!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.5085316!2d41.68693!3s0x8811d8fa42e0f29f:0x1d6452cd8e4a360!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0","https://www.google.com/maps/dir/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7036554,-87.552918,43547m/am=t/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3m4!1m2!1d-87.4854522!2d41.665553!3s0x8811d93a354a61d1:0xf086a1051360c0a1!3m4!1m2!1d-87.5407115!2d41.7493066!3s0x880e281e6295f045:0x4f069b819eb08eb4!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",31.5,58
92,1,21,36.4 miles,42 min,BF_DR,Stopped,I-80 W/I-94 W and I-94 W,40 - 51 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7133749,-87.5948031,10900m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5928117!2d41.7025615!3s0x880e265b77c47ec7:0xbfe801e794ffcf1e!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0","https://www.google.com/maps/dir/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.622122,-87.5829676,6298m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3m4!1m2!1d-87.578403!2d41.6409606!3s0x880e20d8b1a1759d:0x62e8e03b856cf4ca!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",36.4,42
122,1,22,30.1 miles,1 h 3 min,LS,Stopped,US-41 N,58 min - 1 h 15 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6137291,-87.4909993,15407m/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.540285!2d41.7332424!3s0x880e27ff9277de7f:0x7d0a48378c03e2d3!3m4!1m2!1d-87.5086225!2d41.6666688!3s0x8811d8daea9725c7:0x188c31d4a227606c!3m4!1m2!1d-87.433747!2d41.6384644!3s0x8811dc6ec146d873:0x5b0f756e8b5c0596!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0","https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6657808,-87.5421492,25868m/am=t/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3m4!1m2!1d-87.4731417!2d41.6100278!3s0x8811de63313fae81:0x3e3f96044a59077a!3m4!1m2!1d-87.5086317!2d41.664936!3s0x8811d8daea9725c7:0x188c31d4a227606d!3m4!1m2!1d-87.5405246!2d41.7427998!3s0x880e28028dd9d5bd:0x2a295865b2107c99!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",30.1,63
159,1,22,41.1 miles,47 min,BF_DR,Stopped,I-80 W/I-94 W and I-94 W,44 - 56 min,"https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6296208,-87.553508,18415m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3m4!1m2!1d-87.5830917!2d41.6040481!3s0x880e21b3cf205f3d:0x34f74d26c8c045ca!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0","https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7202465,-87.6115132,43540m/data=!3m2!1e3!4b1!4m16!4m15!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0",41.1,47
102,1,22,30.2 miles,38 min,Sky,Stopped,I-90 W,35 - 48 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.7183623,-87.6285313,43560m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5212908!2d41.671367!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0","https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6700227,-87.5512647,21844m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3m4!1m2!1d-87.5165849!2d41.6588515!3s0x8811d8cbc118247f:0x84828c4ea6bfcc93!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3e0",30.2,38
131,1,23,20.7 miles,46 min,LS,Stopped,Indianapolis Blvd and US-41 N,41 - 56 min,"https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7251733,-87.5758964,12955m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5411493!2d41.7273333!3s0x880e27f8fa97f937:0xeeef6d39d159c414!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0","https://www.google.com/maps/dir/899+E+Chicago+Ave,+East+Chicago,+IN+46312/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.7433629,-87.5879856,18285m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3m4!1m2!1d-87.5404462!2d41.7465523!3s0x880e281d7197ba25:0x7866ef20380b938f!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0",20.7,46
